timestamp,x,y,z,phi,theta,psi,u,v,w,p,q,r,tau_X,tau_Y,tau_Z,tau_K,tau_M,tau_N,D_u,D_v,D_w,dist_u,dist_v,pwm_1,thrust_1,pwm_2,thrust_2,pwm_3,thrust_3,pwm_4,thrust_4,pwm_5,thrust_5,pwm_6,thrust_6,pwm_7,thrust_7,pwm_8,thrust_8
1790144878.44074,0.00000,0.00000,0.00000,-0.00279,0.00616,-2.00486,0.00000,0.00000,0.00000,-0.00003,0.00036,-0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144878.49700,0.00000,0.00000,0.00000,-0.00279,0.00616,-2.00486,0.00000,0.00000,0.00000,-0.00003,0.00036,-0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144878.54408,0.00000,0.00000,0.00000,-0.00276,0.00615,-2.00505,0.00000,0.00000,0.00000,0.00070,-0.00006,-0.00081,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144878.57882,0.00000,0.00000,0.00000,-0.00276,0.00615,-2.00505,0.00000,0.00000,0.00000,0.00070,-0.00006,-0.00081,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144878.60917,0.00000,0.00000,0.00000,-0.00276,0.00615,-2.00505,0.00000,0.00000,0.00000,0.00070,-0.00006,-0.00081,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144878.64811,0.00000,0.00000,0.00000,-0.00272,0.00613,-2.00524,0.00000,0.00000,0.00000,-0.00063,0.00008,-0.00119,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144878.67905,0.00000,0.00000,0.00000,-0.00272,0.00613,-2.00524,0.00000,0.00000,0.00000,-0.00063,0.00008,-0.00119,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144878.70921,0.00000,0.00000,0.00000,-0.00272,0.00613,-2.00524,0.00000,0.00000,0.00000,-0.00063,0.00008,-0.00119,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144878.74809,0.00000,0.00000,0.00000,-0.00272,0.00617,-2.00531,0.00000,0.00000,0.00000,0.00048,0.00069,-0.00014,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144878.77874,0.00000,0.00000,0.00000,-0.00272,0.00617,-2.00531,0.00000,0.00000,0.00000,0.00048,0.00069,-0.00014,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
